worker_id,condition,q_index,q_id,model_pred,actual_price,model_conf,final_pred,user_final_price_conf,step2_time,step3_time,hit_start_time,hit_end_time
19980f70d758be0aa40566f55132fa76,C2,2,5,0.6,0.8,2,0.5,4,12545,8586,1536644956,1536646378
19980f70d758be0aa40566f55132fa76,C2,3,0,1,0.9,3,0.9,5,30880,6753,1536644956,1536646378
19980f70d758be0aa40566f55132fa76,C2,4,9,0.6,0.5,4,0.4,3,7826,8669,1536644956,1536646378
19980f70d758be0aa40566f55132fa76,C2,5,10,1.5,-1,4,1.3,4,20704,48030,1536644956,1536646378
19980f70d758be0aa40566f55132fa76,C2,6,11,0.9,1.2,2,0.6,3,11896,12203,1536644956,1536646378
19980f70d758be0aa40566f55132fa76,C2,7,12,1.1,-1,4,1,4,11514,8877,1536644956,1536646378
9d3e389b015b65725f2f07269dffee1e,C0,0,5,0.6,0.8,4,0.6,3,12290,6594,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,1,8,1.3,1.6,4,1.5,3,6695,15398,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,2,0,1,0.9,4,1,3,5506,7958,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,3,7,1.7,1.7,3,1.5,3,6512,10725,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,4,9,0.6,0.5,4,0.5,3,10095,12561,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,5,12,1.1,-1,1,0.4,2,33684,19363,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,6,11,0.9,1.2,3,0.8,3,19184,13135,1536644459,1536644924
9d3e389b015b65725f2f07269dffee1e,C0,7,10,1.5,-1,1,1,2,19539,8496,1536644459,1536644924
00ad89044f456c85b9121f2c8bf9708e,C1,0,0,1,0.9,4,1,4,11206,14629,1536644399,1536644653
00ad89044f456c85b9121f2c8bf9708e,C1,1,9,0.6,0.5,2,0.5,4,11147,5278,1536644399,1536644653
00ad89044f456c85b9121f2c8bf9708e,C1,2,8,1.3,1.6,2,1.4,4,10452,5461,1536644399,1536644653
00ad89044f456c85b9121f2c8bf9708e,C1,3,5,0.6,0.8,4,0.6,4,3770,5794,1536644399,1536644653
00ad89044f456c85b9121f2c8bf9708e,C1,4,7,1.7,1.7,2,1.5,4,8755,5038,1536644399,1536644653
00ad89044f456c85b9121f2c8bf9708e,C1,5,12,1.1,-1,1,0.7,4,9699,7074,1536644399,1536644653
00ad89044f456c85b9121f2c8bf9708e,C1,6,11,0.9,1.2,4,0.8,4,7895,7308,1536644399,1536644653
